,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
338,15625654,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)acetamide",CC(=O)NC1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbda490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba342e0>,0,0.639344262295082,-15.537,<-15
315,11757566,"2,2,2-trifluoro-N-[(2R,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(F)(F)F)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd9a10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba337d0>,0,0.5081967213114754,-15.434,<-15
1281,44352817,"2,2,2-trifluoro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(F)(F)F)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9fc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fd80>,0,0.5081967213114754,-15.434,<-15
2828,155381503,"2,2,2-trifluoro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(F)(F)F)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba286d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e490>,0,0.5081967213114754,-15.434,<-15
1287,44352951,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",CC(=O)N(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa260>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba500b0>,0,0.5082371989475815,-15.384,<-15
2829,155381504,"2,2,2-trichloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(Cl)(Cl)Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e500>,0,0.526816433920259,-15.327,<-15
2569,134166188,"2-(1-but-2-ynoylpiperidin-4-yl)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]acetamide",CC#CC(=O)N1CCC(CC1)CC(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba20120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75ee0>,0,0.5803473848555817,-15.302,<-15
2515,122550829,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-(1-methyl-4-prop-2-enoylpiperazin-2-yl)acetamide",CN1CCN(CC1CC(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74660>,0,0.5240632318501173,-15.281,<-15
2484,122550734,"2-(1-but-2-ynoylazetidin-3-yl)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]acetamide",CC#CC(=O)N1CC(C1)CC(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1da80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73840>,0,0.5705113192818112,-15.19,<-15
2824,155381410,"2,2,2-trifluoro-N-[2-[[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylamino]-2-oxoethyl]acetamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)CNC(=O)C(F)(F)F)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e2d0>,0,0.5082371989475815,-15.175,<-15
