,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
215,10460316,N-Hydroxy-staurosporine terminal acetate,CC(=O)OCON(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5cb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fa70>,0,0.5082371989475815,-13.781,-15 : -13
2243,85149071,"[(3-Methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-methylamino]oxymethyl acetate",CC(=O)OCON(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba16030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6bdf0>,0,0.5082371989475815,-13.78,-15 : -13
2033,69510590,2-[4-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]phenyl]ethyl acetate,CC(=O)OCCC1=CC=C(C=C1)NC2=C3C(=NC(=N2)NC4CCC(CC4)N)N(C=N3)C5CCCC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0fa00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba65850>,0,0.5453270212513999,-11.415,-13 : -11
2707,143160823,"methyl 2-[4-[5-(morpholin-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenoxy]acetate",COC(=O)COC1=CC=C(C=C1)C2=NNC3=C2C(=O)C4=C3C=CC=C4NC(=O)NN5CCOCC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fba24970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7a730>,0,0.5251614186353932,-11.046,-13 : -11
1920,68688564,[2-[4-[4-[[5-Chloro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]-2-oxoethyl] acetate,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2Cl)NC3=CC=C(C=C3)N4CCN(CC4)C(=O)COC(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0c4a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba62260>,0,0.5901639344262295,-11.008,-13 : -11
1899,68686009,[2-[4-[4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]-2-oxoethyl] acetate,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)N4CCN(CC4)C(=O)COC(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0b8b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba61700>,0,0.819672131147541,-10.995,>-11
1469,57892034,"ethyl 2-[4-[5-(morpholin-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenoxy]acetate",CCOC(=O)COC1=CC=C(C=C1)C2=NNC3=C2C(=O)C4=C3C=CC=C4NC(=O)NN5CCOCC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ff3e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba55230>,0,0.525294338440444,-10.858,>-11
1246,25031829,"[(1R,2S)-2-[[3-ethyl-7-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]amino]cyclohexyl]methyl 2-aminoacetate",CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])NC4CCCCC4COC(=O)CN,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9070>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4ee30>,0,0.6093624666963752,-10.467,>-11
1158,23581845,"2-[(2S)-1-[3-bromo-7-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]piperidin-2-yl]ethyl 2-aminoacetate",C1CCN(C(C1)CCOC(=O)CN)C2=NC3=C(C=NN3C(=C2)NCC4=C[N+](=CC=C4)[O-])Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f68f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4c740>,0,0.6380735191176494,-9.935,>-11
1251,25032017,"2-[(2S)-1-[3-ethyl-7-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]piperidin-2-yl]ethyl 2-aminoacetate",CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCCC4CCOC(=O)CN,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f92a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4f060>,0,0.7544289305550278,-9.858,>-11
