,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
1708,60090213,"[(2S,3R,4R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-trimethylazanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[N+](C)(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba05e00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5bbc0>,0,0.5738109694393848,-15.22,<-15
1290,44353115,"[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-trimethylazanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[N+](C)(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa3b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba50200>,0,0.5738109694393848,-15.22,<-15
2630,137271279,"[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]carbamoylazanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC(=O)[NH3+])OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba21d90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77b50>,0,0.639344262295082,-15.186,<-15
1291,44353130,"ethyl-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-dimethylazanium",CC[N+](C)(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba50270>,0,0.5738109694393848,-14.927,-15 : -13
2826,155381495,"ethyl-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-dimethylazanium",CC[N+](C)(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba285f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e3b0>,0,0.5738109694393848,-14.89,-15 : -13
1100,21581283,"[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]azanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[NH3+])OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f4c80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4aa40>,0,0.5738109694393848,-14.889,-15 : -13
344,15939267,"[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylazanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[NH2+]C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbda730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba34580>,0,0.557417526816434,-14.827,-15 : -13
1262,25322870,"[(2S,3R,4S,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylazanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[NH2+]C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4f530>,0,0.557417526816434,-14.826,-15 : -13
2247,86306247,"[(2S,3S,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylazanium",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[NH2+]C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba161f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6c040>,0,0.557417526816434,-14.826,-15 : -13
1101,21581285,"[(2S,3R,4R,6R)-11-hydroxy-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21,23,25,27-nonaen-4-yl]-methylazanium",CC12C(C(CC(O1)N3C4=C(C=C(C=C4)O)C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[NH2+]C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f4cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4aab0>,0,0.5410240841934831,-14.355,-15 : -13
2825,155381444,"butyl-hydroxy-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylazanium",CCCC[N+](C)(C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e340>,0,0.5246306415705323,-13.985,-15 : -13
2701,143090635,"2-[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]ethyl-[hydroxy(naphthalen-1-yl)methylidene]azanium",C1=CC=C2C(=C1)C=CC=C2C(=[NH+]CCNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba245f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7a3b0>,0,0.5127759813765674,-12.101,-13 : -11
2388,91235151,"[[4-[[4-(3-Hydroxybutan-2-yloxy)-5-(trifluoromethyl)pyrimidin-2-yl]amino]phenyl]-methyl-oxo-lambda6-sulfanylidene]-methyl-(2,2,2-trifluoroacetyl)azanium",CC(C(C)OC1=NC(=NC=C1C(F)(F)F)NC2=CC=C(C=C2)S(=[N+](C)C(=O)C(F)(F)F)(=O)C)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1ad50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba70ba0>,0,0.7511979823455234,-11.236,-13 : -11
