,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
1686,59772878,"N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N,4-dimethylbenzamide",CC1=CC=C(C=C1)C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba05460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5b220>,0,0.5082371989475815,-16.243,<-15
1285,44352914,"2-chloro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4ff40>,0,0.5246306415705323,-16.209,<-15
2831,155381507,"2-chloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e5e0>,0,0.5246306415705323,-16.198,<-15
1621,59022431,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N,4-dimethylbenzamide",CC1=CC=C(C=C1)C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba03760>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba595b0>,0,0.5082371989475815,-16.176,<-15
1552,58741090,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]benzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC(=O)C9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba018c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba57680>,0,0.6229508196721312,-16.158,<-15
2429,101697437,"2-hydroxy-N-[(2S,3S,4S,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1c190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71f50>,0,0.5082371989475815,-16.12,<-15
2634,137392541,"4-chloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=C(C=C9)Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba21f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77d10>,0,0.5246306415705323,-16.09,<-15
1279,44352785,"4-chloro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=C(C=C9)Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9ee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fca0>,0,0.5246306415705323,-16.043,<-15
1182,24202429,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f73e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4d230>,0,0.5082371989475815,-15.798,<-15
392,16760627,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdc430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba361f0>,0,0.5082371989475815,-15.798,<-15
