,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2816,155381210,"4-[[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylcarbamoyl]benzoic acid",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=C(C=C9)C(=O)O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7df50>,0,0.5082371989475815,-15.721,<-15
1282,44352842,"4-[[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylcarbamoyl]benzoic acid",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=C(C=C9)C(=O)O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fdf0>,0,0.5082371989475815,-15.717,<-15
1111,21922996,3-[[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]methyl]benzoic acid,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NCC5=CC(=CC=C5)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f5380>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4b140>,0,0.50101964388396,-12.34,-13 : -11
445,18457537,3-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]benzoic acid,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=CC(=C5)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbde110>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba37ed0>,0,0.6306035076717571,-12.036,-13 : -11
1425,53880691,4-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]benzoic acid,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fe030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba53df0>,0,0.6033598081366457,-11.867,-13 : -11
2029,69348590,4-[[2-[(4-Aminocyclohexyl)amino]-9-(thiolan-3-yl)purin-6-yl]amino]benzoic acid,C1CC(CCC1N)NC2=NC(=C3C(=N2)N(C=N3)C4CCSC4)NC5=CC=C(C=C5)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0f610>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba65460>,0,0.5049991523989408,-11.511,-13 : -11
2034,69525663,2-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]benzoic acid,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=CC=C5C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0fa70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba658c0>,0,0.6498384803493525,-11.475,-13 : -11
1637,59176931,"4-[(4-Imidazo[1,2-a]pyridin-3-yl-2-pyrimidinyl)amino]benzoic acid",C1=CC2=NC=C(N2C=C1)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba03e60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba59cb0>,0,0.5741441248516906,-10.207,>-11
2453,118955781,2-chloro-4-[[2-[[(2R)-1-hydroxy-3-methylbutan-2-yl]amino]-9-propylpurin-6-yl]amino]benzoic acid,CCCN1C=NC2=C(N=C(N=C21)NC(CO)C(C)C)NC3=CC(=C(C=C3)C(=O)O)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1ccf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba72ab0>,0,0.5037707559082926,-9.864,>-11
2662,141173818,3-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoic acid,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=CC(=C3)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba22dc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba78c10>,0,0.7049486175678982,-9.816,>-11
1997,69221658,2-Ethyl-4-[[5-fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoic acid,CCC1=C(C=CC(=C1)NC2=NC=C(C(=N2)C3=CN=C(N3C(C)C)C)F)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0e7a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba645f0>,0,0.8360655737704918,-9.611,>-11
1881,68442926,2-Fluoro-4-[[5-fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoic acid,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC(=C(C=C3)C(=O)O)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0b060>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba60eb0>,0,0.9016393442622951,-9.48,>-11
1762,67037185,4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoic acid,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba078b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5d700>,0,0.9344262295081968,-9.288,>-11
13,4367562,2-Chloro-4-[[2-[(1-hydroxy-3-methylbutan-2-yl)amino]-9-propan-2-ylpurin-6-yl]amino]benzoic acid,CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=C(C=C3)C(=O)O)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd00b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba29d20>,0,0.6281980151504475,-9.185,>-11
1718,66640039,"4-[4-(3-Isopropyl-2-methyl-3h-imidazol-4-yl)-[1,3,5]triazin-2-ylamino]-benzoic acid",CC1=NC=C(N1C(C)C)C2=NC(=NC=N2)NC3=CC=C(C=C3)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba063b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5c200>,0,0.6065573770491803,-9.103,>-11
1634,59145176,"4-[[5-(2-Methyl-3-propan-2-ylimidazol-4-yl)-1,2,4-triazin-3-yl]amino]benzoic acid",CC1=NC=C(N1C(C)C)C2=CN=NC(=N2)NC3=CC=C(C=C3)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba03d10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba59b60>,0,0.7622950819672131,-9.081,>-11
1627,59145161,4-[[4-(2-Methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoic acid,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba03a00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba59850>,0,0.860655737704918,-9.024,>-11
1879,68442106,2-Fluoro-4-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoic acid,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC(=C(C=C3)C(=O)O)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0aea0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba60cf0>,0,0.7704918032786885,-8.89,>-11
