,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2455,121258904,"9H-fluoren-9-ylmethyl N-[1-[(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-methylamino]-3-(4-methylphenyl)-1-oxopropan-2-yl]carbamate",CC1=CC=C(C=C1)CC(C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O)NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C12,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1cdd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba72b90>,0,0.5082371989475815,-16.165,<-15
2427,101644392,"benzyl N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)OCC9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1c0b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71e70>,0,0.5082371989475815,-15.677,<-15
2578,134166209,"tert-butyl N-[4-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]carbamoyl]phenyl]carbamate",CC(C)(C)OC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba20510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba762d0>,0,0.5171545667447307,-15.665,<-15
218,10483728,"benzyl N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)OCC9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5e00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fbc0>,0,0.5082371989475815,-15.639,<-15
2814,155381208,"tert-butyl N-[2-[[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylamino]-2-oxoethyl]carbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)CNC(=O)OC(C)(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba280b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7de70>,0,0.5246306415705323,-14.907,-15 : -13
1280,44352816,"tert-butyl N-[2-[[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylamino]-2-oxoethyl]carbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)CNC(=O)OC(C)(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fd10>,0,0.5246306415705323,-14.904,-15 : -13
1286,44352928,"methyl N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)OC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa1f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba50040>,0,0.5082371989475815,-14.604,-15 : -13
2830,155381506,"methyl N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)OC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba287b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e570>,0,0.5082371989475815,-14.561,-15 : -13
2426,101644391,"ethyl N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CCOC(=O)N(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1c040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71e00>,0,0.5082371989475815,-14.31,-15 : -13
211,10414863,"ethyl N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CCOC(=O)N(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5af0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2f8b0>,0,0.5082371989475815,-14.275,-15 : -13
1283,44352873,"tert-butyl N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)OC(C)(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa0a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fe60>,0,0.5082371989475815,-14.148,-15 : -13
2823,155381406,"tert-butyl N-[(2S)-1-[[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylamino]-1-oxo-3-phenylmethoxypropan-2-yl]carbamate",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(COCC9=CC=CC=C9)NC(=O)OC(C)(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba284a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e260>,0,0.5082371989475815,-14.017,-15 : -13
2257,87086797,"tert-butyl N-[4-(4-fluorophenyl)-2-[[2-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]-1,3-thiazole-5-carbonyl]amino]phenyl]carbamate",CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=NC=C(S3)C(=O)NC4=C(C=CC(=C4)C5=CC=C(C=C5)F)NC(=O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba16650>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6c4a0>,0,0.5778688524590164,-12.59,-13 : -11
