,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2560,134166152,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-prop-2-enoyl-1,3-dihydroisoindole-5-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CC6=C(CN(C6)C(=O)C=C)C=C5,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1fca0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75af0>,0,0.5694184231069478,-16.991,<-15
2567,134166175,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-6-(prop-2-enoylamino)pyridine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CN=C(C=C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba20040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75e00>,0,0.5366315378610461,-16.18,<-15
2494,122550752,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpiperidine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCCN(C5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1dee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73ca0>,0,0.5759758001561281,-16.031,<-15
2492,122550750,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpiperidine-4-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCN(CC5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1de00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73bc0>,0,0.5650468384074943,-15.664,<-15
2576,134166198,"1-but-2-ynoyl-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]pyrrolidine-3-carboxamide",CC#CC(=O)N1CCC(C1)C(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba20430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba761f0>,0,0.5869047619047619,-15.534,<-15
2489,122550747,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-4-(prop-2-enoylamino)cyclohexane-1-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCC(CC5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1dcb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73a70>,0,0.5705113192818111,-15.512,<-15
2471,122550717,"4-(but-2-ynoylamino)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]cyclohexane-1-carboxamide",CC#CC(=O)NC1CCC(CC1)C(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1d4d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73290>,0,0.575975800156128,-15.468,<-15
2487,122550745,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpyrrolidine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCN(C5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1dbd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73990>,0,0.5650468384074943,-15.463,<-15
2478,122550725,"1-[(E)-4-(dimethylamino)but-2-enoyl]-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]piperidine-4-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCN(CC5)C(=O)C=CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1d7e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba735a0>,0,0.5750195160031226,-15.363,<-15
390,16739952,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]morpholine-4-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)N5CCOCC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdc2e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba360a0>,0,0.5967408274785325,-15.33,<-15
