,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
329,12017179,"tert-butyl 4-[4-[5-(morpholin-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenyl]piperazine-1-carboxylate",CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbda0a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba33e60>,0,0.5416315428382732,-13.412,-15 : -13
2706,143160816,"chloromethyl 1-[[4-[5-(1,4-oxazocan-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenyl]methyl]piperidine-4-carboxylate",C1CCOCCN(C1)NC(=O)NC2=CC=CC3=C2C(=O)C4=C3NN=C4C5=CC=C(C=C5)CN6CCC(CC6)C(=O)OCCl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba24890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7a650>,0,0.5904120306431513,-12.875,-13 : -11
2788,154449744,"butyl 4-[4-[5-(morpholin-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenyl]piperazine-1-carboxylate",CCCCOC(=O)N1CCN(CC1)C2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba274c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7d310>,0,0.5416315428382732,-12.48,-13 : -11
2786,154077543,"5-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]benzene-1,3-dicarboxylate",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC(=CC(=C5)C(=O)[O-])C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f54fba273e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7d230>,0,0.5309860213329592,-11.973,-13 : -11
2785,154049312,3-[[4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]benzoyl]amino]piperidine-1-carboxylate,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)C(=O)NC4CCCN(C4)C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x7f54fba27370>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7d1c0>,0,0.5971896955503513,-11.596,-13 : -11
277,11399204,"ethyl 1-[[4-[5-(morpholin-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenyl]methyl]piperidine-4-carboxylate",CCOC(=O)C1CCN(CC1)CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd8580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba32340>,0,0.5576813836223713,-11.583,-13 : -11
2694,143073834,"chloromethyl 1-[[4-[5-(morpholin-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenyl]methyl]piperidine-4-carboxylate",C1CN(CCC1C(=O)OCCl)CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba24190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba79f50>,0,0.5412879409994205,-11.565,-13 : -11
1990,69075793,tert-butyl 3-[(4-{[5-fluoro-4-(1-isopropyl-2-methyl-1H-imidazol-5-yl)pyrimidin-2-yl]amino}benzoyl)amino]piperidine-1-carboxylate,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)C(=O)NC4CCCN(C4)C(=O)OC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0e490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba642e0>,0,0.6065573770491803,-11.547,-13 : -11
663,21067347,"Methyl 3-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methylsulfamoyl]thiophene-2-carboxylate",COC(=O)C1=C(C=CS1)S(=O)(=O)NCC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e8ba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3e960>,0,0.5142237222757956,-10.662,>-11
1566,58781277,"methyl (2S)-1-[3-bromo-7-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]pyrrolidine-2-carboxylate",COC(=O)C1CCCN1C2=NC3=C(C=NN3C(=C2)NCC4=C[N+](=CC=C4)[O-])Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fba01ee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba57ca0>,0,0.5853835539879543,-9.667,>-11
1974,68975122,ethyl 5-{[5-fluoro-4-(1-isopropyl-2-methyl-1H-imidazol-5-yl)pyrimidin-2-yl]amino}pyridine-2-carboxylate,CCOC(=O)C1=NC=C(C=C1)NC2=NC=C(C(=N2)C3=CN=C(N3C(C)C)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0dd20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba63ae0>,0,0.8524590163934426,-9.147,>-11
1967,68974224,Methyl 5-[4-(2-methyl-3-propan-2-yl-imidazol-4-yl)pyrimidin-2-yl]aminopyridine-2-carboxylate,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CN=C(C=C3)C(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0d930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba636f0>,0,0.8032786885245902,-9.119,>-11
2258,87086887,"Ethyl 2-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]-1,3-thiazole-5-carboxylate",CCOC(=O)C1=CN=C(S1)NC2=NC=CC(=N2)C3=CN=C(N3C(C)C)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba166c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6c510>,0,0.5288909127706941,-9.038,>-11
