,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2499,122550762,"N'-methyl-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-N'-piperidin-3-ylethane-1,2-diamine",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCCN(C)C5CCCNC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e110>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73ed0>,0,0.543071818891491,-14.049,-15 : -13
2851,155559734,"2-N-(4-aminocyclohexyl)-6-N-[4-(5-bromopyridin-2-yl)oxyphenyl]-9-cyclopentylpurine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)OC6=NC=C(C=C6)Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fba29150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7ef10>,0,0.5125401360054982,-12.898,-13 : -11
432,18002150,"2-N-(4-aminocyclohexyl)-9-cyclopentyl-6-N-(naphthalen-1-ylmethyl)purine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NCC5=CC=CC6=CC=CC=C65,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdd930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba376f0>,0,0.5141860994240364,-12.764,-13 : -11
1146,22896347,"2-N-(4-aminocyclohexyl)-9-cyclopentyl-6-N-[(2-methylphenyl)methyl]purine-2,6-diamine",CC1=CC=CC=C1CNC2=C3C(=NC(=N2)NC4CCC(CC4)N)N(C=N3)C5CCCC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f63b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4c200>,0,0.5305795420469871,-12.743,-13 : -11
2848,155557668,"2-N-(4-aminocyclohexyl)-6-N-[4-(2-aminophenyl)phenyl]-9-cyclopentylpurine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)C6=CC=CC=C6N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba29000>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7edc0>,0,0.6197532507595965,-12.63,-13 : -11
447,18457582,"2-N-(4-aminocyclohexyl)-9-cyclopentyl-6-N-(4-phenylphenyl)purine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbde2d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba38120>,0,0.6360315169706765,-12.571,-13 : -11
2751,145974187,"2-N-(4-aminocyclohexyl)-9-cyclopentyl-6-N-[4-(2-oxa-6-azaspiro[3.3]heptan-6-yl)phenyl]purine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)N6CC7(C6)COC7,<rdkit.Chem.rdchem.Mol object at 0x7f54fba26490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7c2e0>,0,0.5377860376448425,-12.564,-13 : -11
2839,155537564,"2-N-(4-aminocyclohexyl)-9-cyclopentyl-6-N-[4-(2-methoxyphenyl)phenyl]purine-2,6-diamine",COC1=CC=CC=C1C2=CC=C(C=C2)NC3=C4C(=NC(=N3)NC5CCC(CC5)N)N(C=N4)C6CCCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28c10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e9d0>,0,0.5779987300854306,-12.548,-13 : -11
2535,123416464,"2-N-(4-aminocyclohexyl)-6-N-[(2-aminophenyl)methyl]-9-cyclohexylpurine-2,6-diamine",C1CCC(CC1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NCC5=CC=CC=C5N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1f0d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74f20>,0,0.5305795420469871,-12.492,-13 : -11
2749,145971884,"2-N-(4-aminocyclohexyl)-6-N-(4-chlorophenyl)-9-cyclohexylpurine-2,6-diamine",C1CCC(CC1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba263b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7c200>,0,0.5588633210172079,-12.445,-13 : -11
