,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2512,122550825,"N-[4-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]cyclohexyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5CCC(CC5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e6c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74510>,0,0.5705113192818112,-14.923,-15 : -13
2568,134166179,"N-[4-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]phenyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5=CC=C(C=C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba200b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75e70>,0,0.5383194341311095,-14.9,-15 : -13
2559,134166151,"N-[[3-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]phenyl]methyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC5=CC=CC(=C5)CNC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1fc30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75a80>,0,0.5346018735363,-14.765,-15 : -13
2517,122550831,"N-[3-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]cyclohexyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5CCCC(C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e8f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74740>,0,0.592369242779079,-14.661,-15 : -13
2638,137466056,"N-[3-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]phenyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5=CC(=CC=C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba22110>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77ed0>,0,0.5605581576893053,-14.623,-15 : -13
2516,122550830,"N-[3-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]cyclopentyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5CCC(C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba746d0>,0,0.5705113192818112,-14.415,-15 : -13
2502,122550766,"N-[1-[2-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]ethyl]piperidin-4-yl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCCN5CCC(CC5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e260>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba740b0>,0,0.5530249804839971,-14.372,-15 : -13
2500,122550763,"N-[1-[2-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]ethyl]pyrrolidin-3-yl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCCN5CCC(C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73f40>,0,0.5366315378610461,-14.346,-15 : -13
2501,122550765,"N-[1-[2-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]ethyl]piperidin-3-yl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCCN5CCCC(C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e1f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74040>,0,0.5257025761124123,-14.161,-15 : -13
2513,122550826,"N-[3-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]cyclobutyl]prop-2-enamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5CC(C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74580>,0,0.5705113192818112,-14.154,-15 : -13
