,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
125,10122000,"1-[4-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]piperidin-1-yl]-2,2-diphenylethanone",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5CCN(CC5)C(=O)C(C6=CC=CC=C6)C7=CC=CC=C7,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd3290>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2d0e0>,0,0.5131303156485536,-14.002,-15 : -13
148,10167987,1-[4-[[2-[(4-Aminocyclohexyl)amino]-9-cyclopentylpurin-6-yl]amino]piperidin-1-yl]-2-phenylmethoxyethanone,C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5CCN(CC5)C(=O)COCC6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd3d80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2dbd0>,0,0.5160852950024554,-12.705,-13 : -11
1923,68688703,"1-[(2S,6R)-4-[4-[[5-fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]-2,6-dimethylpiperazin-1-yl]ethanone",CC1CN(CC(N1C(=O)C)C)C2=CC=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C(N4C(C)C)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0c5f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba623b0>,0,0.7704918032786885,-11.376,-13 : -11
1910,68687013,"1-[4-[4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]-2,5-dimethylpiperazin-1-yl]ethanone",CC1CN(C(CN1C(=O)C)C)C2=CC=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C(N4C(C)C)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0bed0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba61d20>,0,0.7704918032786885,-11.376,-13 : -11
2236,77539379,"1-[4-[4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]-2,6-dimethylpiperazin-1-yl]ethanone",CC1CN(CC(N1C(=O)C)C)C2=CC=C(C=C2)NC3=NC=C(C(=N3)C4=CN=C(N4C(C)C)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba15d20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6bae0>,0,0.7704918032786885,-11.366,-13 : -11
1914,68687081,2-(Azetidin-1-yl)-1-[4-[4-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]ethanone,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCN(CC4)C(=O)CN5CCC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0c200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba61fc0>,0,0.5901639344262295,-11.205,-13 : -11
275,11396903,1-[4-[2-Fluoro-4-[[5-fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]ethanone,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC(=C(C=C3)N4CCN(CC4)C(=O)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd83c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba32180>,0,0.8524590163934426,-11.118,-13 : -11
1898,68685975,1-[4-[2-Chloro-4-[[5-fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]ethanone,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC(=C(C=C3)N4CCN(CC4)C(=O)C)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0b840>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba61690>,0,0.8360655737704918,-11.072,-13 : -11
1927,68689084,1-[2-Chloro-4-[4-[[5-fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]-2-methoxyethanone,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)N4CCN(C(C4)Cl)C(=O)COC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0c7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba62570>,0,0.7049180327868853,-11.035,-13 : -11
1917,68687430,1-[4-[2-Methyl-4-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]ethanone,CC1=C(C=CC(=C1)NC2=NC=CC(=N2)C3=CN=C(N3C(C)C)C)N4CCN(CC4)C(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0c350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba62110>,0,0.7336065573770492,-11.0,-13 : -11
