,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2738,145501151,"[1-[7-[[6-[[(1S,2R)-2-[[3-bromo-7-[(1-hydroxypyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]amino]cyclohexyl]methoxy]-1-oxidopyridin-1-ium-3-yl]methylamino]-3-methylpyrazolo[1,5-a]pyrimidin-5-yl]piperidin-2-yl]methanol",CC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=C(C=C3)OCC4CCCCC4NC5=NC6=C(C=NN6C(=C5)NCC7=C[N+](=CC=C7)O)Br)[O-])N8CCCCC8CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fba25d90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7bb50>,0,0.5469556936338645,-13.414,-15 : -13
2740,145501540,"[1-[3-bromo-7-[[6-[[(1S,2R)-2-[[3-bromo-7-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]amino]cyclohexyl]methoxy]-1-oxidopyridin-1-ium-3-yl]methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]piperidin-2-yl]methanol",C1CCC(C(C1)COC2=[N+](C=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)N5CCCCC5CO)[O-])NC6=NC7=C(C=NN7C(=C6)NCC8=C[N+](=CC=C8)[O-])Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fba25e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7bc30>,0,0.6441353221056819,-13.257,-15 : -13
2306,89386774,"[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methylamino]-[(2,4-dichlorophenyl)methylamino]methanol",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNC(NCC5=C(C=C(C=C5)Cl)Cl)O)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba18580>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6e340>,0,0.7116057467446099,-11.817,-13 : -11
2700,143090623,"[4-[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]butylamino]-[(3S)-2,3-dihydro-1,4-benzodioxin-3-yl]methanol",C1C(OC2=CC=CC=C2O1)C(NCCCCNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba24510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7a2d0>,0,0.5373661453109937,-11.242,-13 : -11
281,11418080,"[(1S,2R)-2-[[8-ethyl-4-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino]cyclohexyl]methanol",CCC1=C2N=C(N=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])NC4CCCCC4CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd8740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba32500>,0,0.5280767276672886,-11.058,-13 : -11
227,11165410,"[(1R,2S)-2-[[8-ethyl-4-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino]cyclohexyl]methanol",CCC1=C2N=C(N=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])NC4CCCCC4CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd6260>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba300b0>,0,0.5280767276672886,-11.058,-13 : -11
317,11773518,"[(1R,2S)-2-[[8-ethyl-4-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino]cyclopentyl]methanol",CCC1=C2N=C(N=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])NC4CCCC4CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd9af0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba338b0>,0,0.5116832850443379,-10.905,>-11
1486,58630845,"[(2R)-1-[8-ethyl-4-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a][1,3,5]triazin-2-yl]pyrrolidin-2-yl]methanol",CCC1=C2N=C(N=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC4CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ffb50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba559a0>,0,0.5267299110198788,-10.836,>-11
1487,58630846,"[(2S)-1-[8-ethyl-4-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a][1,3,5]triazin-2-yl]pyrrolidin-2-yl]methanol",CCC1=C2N=C(N=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])N4CCCC4CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ffbc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba55a10>,0,0.5267299110198788,-10.836,>-11
1260,25234815,"[(1R,2S)-2-[[3-ethyl-7-[(1-oxidopyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]amino]cyclohexyl]methanol",CCC1=C2N=C(C=C(N2N=C1)NCC3=C[N+](=CC=C3)[O-])NC4CCCCC4CO,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4f450>,0,0.6417120299874884,-10.593,>-11
