,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2763,146557202,"(15S,16S,17S,19S)-15,16-dimethoxy-15,19-dimethyl-17-(methylamino)-4,14,20-triazaheptacyclo[12.12.2.02,6.07,28.08,13.020,27.021,26]octacosa-1,6,8,10,12,21,23,25,27-nonaen-3-one",CC1CC(C(C(N2C3=CC=CC=C3C4=C5CNC(=O)C5=C6C7=CC=CC=C7N1C6=C42)(C)OC)OC)NC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba269d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7c820>,0,0.5246776815780587,-16.073,<-15
2633,137392527,"(2S,3R,6R)-4-[(4-chlorophenyl)sulfanyl-methylamino]-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)SC9=CC=C(C=C9)Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba21ee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77ca0>,0,0.6229912973082372,-15.543,<-15
1478,58434736,"(2R,4R,5R,6S)-5,6-dimethyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC1C(CC2N3C4=CC=CC=C4C5=C6CNC(=O)C6=C7C8=CC=CC=C8N(C7=C53)C1(O2)C)NC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ff7d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba55620>,0,0.5902044120623355,-15.509,<-15
1706,60020452,"(2S,3R,4S,6R)-3-methoxy-2-methyl-4-(3-methylbutan-2-yl)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC(C)C(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba05d20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5bae0>,0,0.5644432879405556,-15.482,<-15
1289,44353112,"(2R,3S,4S,6S)-3-methoxy-2-methyl-4-(N-methylanilino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa340>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba50190>,0,0.557417526816434,-15.448,<-15
2817,155381211,"(2S,3R,4R,6R)-3-methoxy-2-methyl-4-(N-methylanilino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7dfc0>,0,0.557417526816434,-15.436,<-15
2422,101257296,"(2R,3R,4R,6S)-3-methoxy-2-methyl-4-[methyl(1-phenylethyl)amino]-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC(C1=CC=CC=C1)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1bdf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71c40>,0,0.5082371989475815,-15.426,<-15
2415,100975859,"(2S,3S,4S,6R)-3-hydroxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1bae0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71930>,0,0.5246306415705323,-15.424,<-15
350,16048615,"(2R,3S,4S,6S)-3-hydroxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbda9d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba34820>,0,0.5246306415705323,-15.419,<-15
2396,91348317,"(2R,3S,4S,6S)-3-methoxy-2,4-dimethyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1b140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba70f90>,0,0.5738109694393848,-15.342,<-15
2666,141860995,"(2R,3S,6S)-3-methoxy-2-methyl-4-(methyliminomethyl)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)C=NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba23300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba79150>,0,0.557417526816434,-15.339,<-15
1622,59050372,"(2S,3S,4S,6R)-3-methoxy-2,4-dimethyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba037d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba59620>,0,0.5738109694393848,-15.31,<-15
2669,142221389,"(2S,3R,4R,6R)-3-methoxy-2,4-dimethyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba23530>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba79380>,0,0.5738109694393848,-15.31,<-15
