,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2456,121258905,"2-amino-N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N-methyl-3-(4-methylphenyl)propanamide",CC1=CC=C(C=C1)CC(C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1ce40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba72c00>,0,0.5246306415705323,-15.914,<-15
2820,155381402,"(2S)-2-amino-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methyl-3-phenylmethoxypropanamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(COCC9=CC=CC=C9)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28350>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e110>,0,0.5246306415705323,-15.742,<-15
2818,155381214,"(2S)-2-amino-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methyl-3-phenylpropanamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(CC9=CC=CC=C9)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e030>,0,0.5082371989475815,-15.6,<-15
2821,155381403,"(2S)-2-amino-3-hydroxy-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylpropanamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C(CO)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba283c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e180>,0,0.5246306415705323,-14.812,-15 : -13
929,21068167,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2-methyl-3-phenylpropanamide",CC(CC1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba45ee0>,0,0.5637214449679384,-12.26,-13 : -11
736,21067598,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-phenylpropanamide",C1=CC=C(C=C1)CCC(=O)NC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eab90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba409e0>,0,0.5965342535606638,-12.09,-13 : -11
1002,21068270,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-methyl-3-phenylpropanamide",CC(CC1=CC=CC=C1)C(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2110>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47ed0>,0,0.5148844352692001,-12.006,-13 : -11
950,21068200,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-phenylpropanamide",C1=CC=C(C=C1)CCC(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0a50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46810>,0,0.6292952154597417,-11.931,-13 : -11
608,21066066,"3-(benzenesulfonyl)-N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]propanamide",C1=CC=C(C=C1)S(=O)(=O)CCC(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e7220>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3d070>,0,0.5022719584786967,-11.897,-13 : -11
734,21067596,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-phenoxypropanamide",C1=CC=C(C=C1)OCCC(=O)NC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eaab0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba40900>,0,0.5063703191344343,-11.868,-13 : -11
810,21067691,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-phenylpropanamide",C1=CC=C(C=C1)CCC(=O)NCC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ecc80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba42a40>,0,0.6293211388065654,-11.749,-13 : -11
1030,21068305,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-phenoxypropanamide",C1=CC=C(C=C1)OCCC(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2d50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba48ba0>,0,0.5558680418265772,-11.688,-13 : -11
228,11200023,N-(5-cyclopropyl-1H-pyrazol-3-yl)-2-[4-(3-oxo-1H-isoindol-2-yl)phenyl]propanamide,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)NC4=NNC(=C4)C5CC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd62d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba30120>,0,0.5288031653998909,-11.682,-13 : -11
37,5330955,"(2S)-N-(5-Cyclopropyl-1H-pyrazol-3-yl)-2-[4-(1-oxo-1,3-dihydro-2H-isoindol-2-yl)phenyl]propanamide",CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)NC4=NNC(=C4)C5CC5,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbb7680>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2a7a0>,0,0.5288031653998909,-11.682,-13 : -11
949,21068199,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-phenoxypropanamide",C1=CC=C(C=C1)OCCC(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f09e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba467a0>,0,0.5063443957876106,-11.634,-13 : -11
1032,21068307,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-phenylpropanamide",C1=CC=C(C=C1)CCC(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2e30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba48c80>,0,0.6788188614987082,-11.579,-13 : -11
