,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2299,89058070,"3-bromo-5-(2-chlorophenyl)-N-[[3-[1-(2,3-dihydro-1H-inden-2-yl)ethenylamino]phenyl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C=C(C1CC2=CC=CC=C2C1)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba18190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6df50>,0,0.580140810937713,-12.935,-13 : -11
2146,71454942,4-(2-morpholin-4-ylpyridin-4-yl)-N-[3-(trifluoromethyl)phenyl]pyrimidin-2-amine,C1COCCN1C2=NC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba13370>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba691c0>,0,0.5451852454457627,-12.769,-13 : -11
2300,89058072,"3-bromo-5-(2-chlorophenyl)-N-[[3-[1-(2-phenylphenyl)ethenylamino]phenyl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C=C(C1=CC=CC=C1C2=CC=CC=C2)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba18200>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6dfc0>,0,0.5637473683147621,-12.646,-13 : -11
628,21066886,"3-bromo-5-(2-chlorophenyl)-N-[[1-(2,3-dihydro-1H-inden-2-yl)piperidin-3-yl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C1CC(CN(C1)C2CC3=CC=CC=C3C2)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e7bc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3da10>,0,0.5127759813765674,-12.539,-13 : -11
2102,70843401,"3-bromo-5-(2-chlorophenyl)-N-[[4-[[(1-phenylcyclohexyl)oxymethylamino]methyl]phenyl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C1CCC(CC1)(C2=CC=CC=C2)OCNCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba11f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba67d10>,0,0.6132450910069049,-12.379,-13 : -11
2837,155526188,"2-N-(4-aminocyclohexyl)-9-cyclopentyl-6-N-(4-pyrimidin-2-yloxyphenyl)purine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)OC6=NC=CC=N6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28ac0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e880>,0,0.528933578628449,-12.348,-13 : -11
666,21067389,"N-[[1-(1,3-benzodioxol-5-ylmethyl)piperidin-3-yl]methyl]-3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1CC(CN(C1)CC2=CC3=C(C=C2)OCO3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e8cf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3eab0>,0,0.5127759813765674,-12.237,-13 : -11
103,10001536,"5-N-(4-aminocyclohexyl)-3-chloro-7-N-(3-chloro-4-fluorophenyl)pyrazolo[1,5-a]pyrimidine-5,7-diamine",C1CC(CCC1N)NC2=NC3=C(C=NN3C(=C2)NC4=CC(=C(C=C4)F)Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd2880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2c6d0>,0,0.8695081967213114,-11.939,-13 : -11
650,21066950,"3-bromo-5-(2-chlorophenyl)-N-[[4-(trifluoromethyl)phenyl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)C(F)(F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e85f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3e3b0>,0,0.695212304121659,-11.898,-13 : -11
658,21067068,"3-bromo-N-[[1-[(4-bromophenyl)methyl]piperidin-4-yl]methyl]-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1CN(CCC1CNC2=CC(=NC3=C(C=NN23)Br)C4=CC=CC=C4Cl)CC5=CC=C(C=C5)Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e8970>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3e730>,0,0.5127759813765674,-11.879,-13 : -11
213,10434760,"5-N-(4-aminocyclohexyl)-3-bromo-7-N-(3-chloro-4-fluorophenyl)-2-methylpyrazolo[1,5-a]pyrimidine-5,7-diamine",CC1=NN2C(=CC(=NC2=C1Br)NC3CCC(CC3)N)NC4=CC(=C(C=C4)F)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5bd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2f990>,0,0.5903430977335842,-11.838,-13 : -11
377,16665954,N-{4-[(4-Methylpiperazin-1-yl)carbonyl]phenyl}-4-[2-methyl-1-(tetrahydro-2H-pyran-4-yl)-1H-imidazol-5-yl]pyrimidin-2-amine,CC1=NC=C(N1C2CCOCC2)C3=NC(=NC=C3)NC4=CC=C(C=C4)C(=O)N5CCN(CC5)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdbc30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba35a80>,0,0.5429403456429626,-11.808,-13 : -11
625,21066865,"3-bromo-5-(2-chlorophenyl)-N-[[1-[(5-thiophen-2-ylthiophen-2-yl)methyl]piperidin-3-yl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C1CC(CN(C1)CC2=CC=C(S2)C3=CC=CS3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e7a70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3d8c0>,0,0.504579260065092,-11.796,-13 : -11
214,10456600,"5-N-(4-aminocyclohexyl)-3-bromo-7-N-(3-chloro-4-fluorophenyl)pyrazolo[1,5-a]pyrimidine-5,7-diamine",C1CC(CCC1N)NC2=NC3=C(C=NN3C(=C2)NC4=CC(=C(C=C4)F)Cl)Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5c40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fa00>,0,0.912568306010929,-11.74,-13 : -11
2660,141053840,N-(3-chlorophenyl)-4-(2-pyrrolidin-1-ylpyridin-4-yl)pyrimidin-2-amine,C1CCN(C1)C2=NC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba22ce0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba78b30>,0,0.5128129994947974,-11.522,-13 : -11
639,21066930,"3-bromo-5-(2-chlorophenyl)-N-[[2-(trifluoromethyl)phenyl]methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C(=C1)CNC2=CC(=NC3=C(C=NN23)Br)C4=CC=CC=C4Cl)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e8120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3dee0>,0,0.5801148875908892,-11.508,-13 : -11
151,10173796,"N-[4-(4-methylpiperazin-1-yl)-3-(trifluoromethyl)phenyl]-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC=CC(=N3)C4=C5C=CC=NN5N=C4)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd3ed0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2dd20>,0,0.77672368454809,-11.483,-13 : -11
636,21066924,"3-bromo-5-(2-chlorophenyl)-N-[(2-methyl-3H-benzimidazol-5-yl)methyl]pyrazolo[1,5-a]pyrimidin-7-amine",CC1=NC2=C(N1)C=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e7f40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3dd90>,0,0.5965342535606638,-11.445,-13 : -11
1613,58938446,"5-N-(4-aminocyclohexyl)-3-chloro-7-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidine-5,7-diamine",C1CC(CCC1N)NC2=NC3=C(C=NN3C(=C2)NC4=CC(=CC=C4)Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba033e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba59230>,0,0.6065573770491803,-11.442,-13 : -11
1606,58938316,"5-N-(4-aminocyclohexyl)-7-N-[4-(5-chloropyridin-3-yl)oxyphenyl]-3-methylsulfanylpyrazolo[1,5-a]pyrimidine-5,7-diamine",CSC1=C2N=C(C=C(N2N=C1)NC3=CC=C(C=C3)OC4=CC(=CN=C4)Cl)NC5CCC(CC5)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba030d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba58f20>,0,0.5245901639344263,-11.433,-13 : -11
646,21066942,"3-bromo-5-(2-chlorophenyl)-N-(3-phenylpropyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C=C1)CCCNC2=CC(=NC3=C(C=NN23)Br)C4=CC=CC=C4Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e8430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3e1f0>,0,0.56195630924542,-11.399,-13 : -11
2854,156274784,"4-(6-bromoimidazo[1,2-a]pyridin-3-yl)-N-(6-pyrrolidin-1-ylpyridin-3-yl)pyrimidin-2-amine",C1CCN(C1)C2=NC=C(C=C2)NC3=NC=CC(=N3)C4=CN=C5N4C=C(C=C5)Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fba29380>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7f140>,0,0.509034518758478,-11.389,-13 : -11
1119,21948237,N-[3-chloro-phenyl]-4-[2-(1-piperazinyl)-4-pyridyl]-2-pyrimidineamine,C1CN(CCN1)C2=NC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f5700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4b4c0>,0,0.525927753593158,-11.363,-13 : -11
2451,118479803,"N-[4-piperazin-1-yl-3-(trifluoromethyl)phenyl]-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",C1CN(CCN1)C2=C(C=C(C=C2)NC3=NC=CC(=N3)C4=C5C=CC=NN5N=C4)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1cba0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba72960>,0,0.7275433566792375,-11.351,-13 : -11
2806,154815694,"N-[3-fluoro-4-(4-methylpiperazin-1-yl)phenyl]-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC=CC(=N3)C4=C5C=CC=NN5N=C4)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fba27ca0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7daf0>,0,0.5926791890447938,-11.331,-13 : -11
627,21066880,"3-bromo-5-(2-chlorophenyl)-N-[(1-cyclopentylpiperidin-3-yl)methyl]pyrazolo[1,5-a]pyrimidin-7-amine",C1CCC(C1)N2CCCC(C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e7b50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3d9a0>,0,0.5127759813765674,-11.3,-13 : -11
470,19689599,N-(3-chlorophenyl)-4-(2-morpholin-4-ylpyridin-4-yl)pyrimidin-2-amine,C1COCCN1C2=NC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdf220>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba39070>,0,0.6927505482848053,-11.218,-13 : -11
1127,22027868,"(3-Chloro-phenyl)-{4-[2-(2-oxo-[1,2,3]oxathiazolidin-3-yl)-pyridin-4-yl]-pyrimidin-2-yl}-amine",C1COS(=O)N1C2=NC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f5a80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4b840>,0,0.5455186056120167,-11.189,-13 : -11
2244,85797484,"N-(3-chlorophenyl)-4-[2-(1,3-oxazolidin-3-yl)pyridin-4-yl]pyrimidin-2-amine",C1COCN1C2=NC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba160a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6be60>,0,0.6435702204159528,-11.188,-13 : -11
654,21066961,"3-bromo-5-(2-chlorophenyl)-N-(2-phenylethyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C=C1)CCNC2=CC(=NC3=C(C=NN23)Br)C4=CC=CC=C4Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e87b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3e570>,0,0.56195630924542,-11.161,-13 : -11
102,9981374,"N-(3H-benzimidazol-5-ylmethyl)-3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC5=C(C=C4)N=CN5)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd2810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2c660>,0,0.5866119067099304,-11.117,-13 : -11
1116,21948232,N-(3-trifluoromethyl-phenyl)-4-[2-(3-hydroxy-propyl-amino)-4-pyridyl]-2-pyrimidineamine,C1=CC(=CC(=C1)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f55b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4b370>,0,0.6892801893852762,-11.085,-13 : -11
192,10287646,"N-(3-chloro-4-morpholin-4-ylphenyl)-4-pyrazolo[1,5-b]pyridazin-3-ylpyrimidin-2-amine",C1COCCN1C2=C(C=C(C=C2)NC3=NC=CC(=N3)C4=C5C=CC=NN5N=C4)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd52a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2f060>,0,0.5801391687554084,-11.075,-13 : -11
1156,23541189,"3-bromo-5-(2-chlorophenyl)-N-pyridin-3-ylpyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NC4=CN=CC=C4)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f6810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4c660>,0,0.5129144011586777,-11.046,-13 : -11
2847,155555850,"4-(6-morpholin-4-ylpyrazolo[1,5-b]pyridazin-3-yl)-N-phenylpyrimidin-2-amine",C1COCCN1C2=NN3C(=C(C=N3)C4=NC(=NC=C4)NC5=CC=CC=C5)C=C2,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28f90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7ed50>,0,0.5084298771705377,-11.039,-13 : -11
640,21066932,"3-bromo-5-(2-chlorophenyl)-N-(3,3-diphenylpropyl)pyrazolo[1,5-a]pyrimidin-7-amine",C1=CC=C(C=C1)C(CCNC2=CC(=NC3=C(C=NN23)Br)C4=CC=CC=C4Cl)C5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e8190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3df50>,0,0.5127759813765674,-11.033,-13 : -11
