,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
107,10049525,3'-Demethylstaurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd2a40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2c890>,0,0.5246306415705323,-15.424,<-15
2428,101644397,Acetylstaurosporine,CC(=O)N(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1c120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71ee0>,0,0.5082371989475815,-15.36,<-15
2435,102387507,N-carboxamido-staurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1c430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba721f0>,0,0.5082371989475815,-15.246,<-15
210,10413487,4'-Demethyl-Af-formyl-7V-hydroxy-staurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C=O)O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5a80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2f840>,0,0.5410240841934831,-15.122,<-15
314,11754980,4'-Demethylamino-4'-nitro-staurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)[N+](=O)[O-])OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd99a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba33760>,0,0.5245901639344263,-15.028,<-15
220,10552740,"N,N-Dimethylstaurosporine",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fd10>,0,0.557417526816434,-14.972,-15 : -13
221,10671376,4'-Demethylamino-4'-hydroxystaurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5fc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fd80>,0,0.5738109694393848,-14.884,-15 : -13
3,5279,Staurosporine HCl,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbb7bc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba29620>,0,0.8688524590163934,-14.799,-15 : -13
14,4369398,"1,2,3,4-Tetrahydrogen-staurosporine",CC12C(C(CC(O1)N3C4=C(CCCC4)C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd0120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba29d90>,0,0.7216288702331265,-14.798,-15 : -13
4,44259,Staurosporine,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbb7c30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba29930>,0,0.8688524590163934,-14.766,-15 : -13
20,5311103,"Staurosporine, from Streptomyces sp.",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd03c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2a030>,0,0.8688524590163934,-14.766,-15 : -13
1367,45027788,"3,11-Dihydroxystaurosporine",CC12C(C(CC(O1)N3C4=C(C=C(C=C4)O)C5=C6C(=C7C8=C(N2C7=C53)C(=CC=C8)O)CNC6=O)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fc660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba52420>,0,0.6451290072206413,-13.79,-15 : -13
215,10460316,N-Hydroxy-staurosporine terminal acetate,CC(=O)OCON(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5cb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fa70>,0,0.5082371989475815,-13.781,-15 : -13
