,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
914,21068147,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2-(2,2,2-trifluoroacetyl)-3,4-dihydro-1H-isoquinoline-7-sulfonamide",C1CN(CC2=C1C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl)C(=O)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9efa00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba45850>,0,0.5166827386692382,-14.077,-15 : -13
2177,73317457,"N-(14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl)ethanesulfonamide",CCS(=O)(=O)NC1=CC2=CC(=C1)NC3=NC=CC(=N3)C4=CC(=CC=C4)OCCC=CCN(C2)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba142e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6a0a0>,0,0.5251561280249806,-13.722,-15 : -13
389,16739950,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]ethanesulfonamide",CCS(=O)(=O)NC1=CC2=CC(=C1)NC3=NC=CC(=N3)C4=CC(=CC=C4)OCCC=CCN(C2)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdc270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba36030>,0,0.5251561280249806,-13.705,-15 : -13
1075,21068355,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]naphthalene-1-sulfonamide",C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f4190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba49f50>,0,0.5391312810335122,-13.674,-15 : -13
1077,21068357,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]naphthalene-2-sulfonamide",C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f4270>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4a030>,0,0.5019286403085824,-13.31,-15 : -13
839,21067732,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]naphthalene-1-sulfonamide",C1=CC=C2C(=C1)C=CC=C2S(=O)(=O)NCC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ed930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba436f0>,0,0.5391572043803359,-13.174,-15 : -13
841,21067734,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]naphthalene-2-sulfonamide",C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)NCC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eda10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba437d0>,0,0.5003433181701141,-13.172,-15 : -13
709,21067553,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2,4-difluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)NS(=O)(=O)C5=C(C=C(C=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e9fc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3fd80>,0,0.5044416788258519,-12.734,-13 : -11
2166,72421474,"3-[[3,5-dimethyl-4-[4-(morpholine-4-carbonyl)phenyl]-1H-pyrrol-2-yl]methylidene]-N-methyl-2-oxo-1H-indole-5-sulfonamide",CC1=C(NC(=C1C2=CC=C(C=C2)C(=O)N3CCOCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)NC)NC4=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba13d80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba69bd0>,0,0.524615939787607,-12.554,-13 : -11
1555,58779603,"(3Z)-3-[[3,5-dimethyl-4-[4-(morpholine-4-carbonyl)phenyl]-1H-pyrrol-2-yl]methylidene]-N-methyl-2-oxo-1H-indole-5-sulfonamide",CC1=C(NC(=C1C2=CC=C(C=C2)C(=O)N3CCOCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)NC)NC4=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba01a10>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba577d0>,0,0.524615939787607,-12.514,-13 : -11
