,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
294,11526315,"1-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-1-methylurea",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd8f90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba32d50>,0,0.5082371989475815,-15.244,<-15
2169,72994934,"1-(3-Methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-1-methylurea",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba13ed0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba69d20>,0,0.5082371989475815,-15.244,<-15
2705,143160810,"1-[3-[4-[[4-[(5E,7Z)-3,4-dihydroazocin-2-yl]piperazin-1-yl]methyl]phenyl]-4-oxo-1H-indeno[1,2-c]pyrazol-5-yl]-3-morpholin-4-ylurea",C1CC(=NC=CC=C1)N2CCN(CC2)CC3=CC=C(C=C3)C4=NNC5=C4C(=O)C6=C5C=CC=C6NC(=O)NN7CCOCC7,<rdkit.Chem.rdchem.Mol object at 0x7f54fba24820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7a5e0>,0,0.5083681359484679,-14.496,-15 : -13
2239,78094795,"1-(3-Methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-1-methylthiourea",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=S)N)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba15e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6bc30>,0,0.5410240841934831,-14.467,-15 : -13
1564,58781271,"1-(1-Adamantyl)-3-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]urea",C1C2CC3CC1CC(C2)(C3)NC(=O)NCC4=CC=C(C=C4)CNC5=CC(=NC6=C(C=NN56)Br)C7=CC=CC=C7Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba01e00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba57bc0>,0,0.660496778567175,-14.408,-15 : -13
1284,44352905,"1-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-1,3-dimethylthiourea",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=S)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa110>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4fed0>,0,0.5410240841934831,-14.128,-15 : -13
268,11354518,"1-morpholin-4-yl-3-[4-oxo-3-[4-[[4-[3-(trifluoromethyl)phenyl]piperazin-1-yl]methyl]phenyl]-1H-indeno[1,2-c]pyrazol-5-yl]urea",C1CN(CCN1CC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6)C7=CC=CC(=C7)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd7e60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba31cb0>,0,0.5085010557535188,-14.064,-15 : -13
2819,155381267,"1-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-1,3-dimethylthiourea",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=S)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba282e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e0a0>,0,0.5410240841934831,-14.062,-15 : -13
573,21065831,"1-[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-naphthalen-1-ylurea",C1=CC=C2C(=C1)C=CC=C2NC(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e6180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3bf40>,0,0.59650833021384,-13.913,-15 : -13
589,21065856,"1-[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-(2-phenylphenyl)urea",C1=CC=C(C=C1)C2=CC=CC=C2NC(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e6880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3c6d0>,0,0.5432296416892498,-13.774,-15 : -13
