,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy
2560,134166152,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-prop-2-enoyl-1,3-dihydroisoindole-5-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CC6=C(CN(C6)C(=O)C=C)C=C5,<rdkit.Chem.rdchem.Mol object at 0x7f0228610eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228666960>,0,0.5694184231069478,-16.991
2567,134166175,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-6-(prop-2-enoylamino)pyridine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CN=C(C=C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f02286111c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228666c70>,0,0.5366315378610461,-16.18
2494,122550752,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpiperidine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCCN(C5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f022860f060>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228664ba0>,0,0.5759758001561281,-16.031
2492,122550750,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpiperidine-4-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCN(CC5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f022860ef80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228664ac0>,0,0.5650468384074943,-15.664
2576,134166198,"1-but-2-ynoyl-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]pyrrolidine-3-carboxamide",CC#CC(=O)N1CCC(C1)C(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f02286115b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228667060>,0,0.5869047619047619,-15.534
2489,122550747,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-4-(prop-2-enoylamino)cyclohexane-1-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCC(CC5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f022860ee30>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228664970>,0,0.5705113192818111,-15.512
2471,122550717,"4-(but-2-ynoylamino)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]cyclohexane-1-carboxamide",CC#CC(=O)NC1CCC(CC1)C(=O)NC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f022860e650>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228664190>,0,0.575975800156128,-15.468
2487,122550745,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpyrrolidine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCN(C5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f022860ed50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228664890>,0,0.5650468384074943,-15.463
2478,122550725,"1-[(E)-4-(dimethylamino)but-2-enoyl]-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]piperidine-4-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5CCN(CC5)C(=O)C=CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f022860e960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f02286644a0>,0,0.5750195160031226,-15.363
390,16739952,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]morpholine-4-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)N5CCOCC5,<rdkit.Chem.rdchem.Mol object at 0x7f02285d1460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0228626f80>,0,0.5967408274785325,-15.33
