cid,cid,cmpdname,predicted_proba,predicted_proba2,min_energy
134166152,134166152,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-prop-2-enoyl-1,3-dihydroisoindole-5-carboxamide",0.5694184231069478,0.5694184231069478,-16.991
59772878,59772878,"N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N,4-dimethylbenzamide",0.5082371989475815,0.5082371989475815,-16.243
44352914,44352914,"2-chloro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5246306415705323,0.5246306415705323,-16.209
155381507,155381507,"2-chloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5246306415705323,0.5246306415705323,-16.198
134166175,134166175,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-6-(prop-2-enoylamino)pyridine-3-carboxamide",0.5366315378610461,0.5366315378610461,-16.18
59022431,59022431,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N,4-dimethylbenzamide",0.5082371989475815,0.5082371989475815,-16.176
121258904,121258904,"9H-fluoren-9-ylmethyl N-[1-[(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-methylamino]-3-(4-methylphenyl)-1-oxopropan-2-yl]carbamate",0.5082371989475815,0.5082371989475815,-16.165
58741090,58741090,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]benzamide",0.6229508196721312,0.6229508196721312,-16.158
101697437,101697437,"2-hydroxy-N-[(2S,3S,4S,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-16.12
137392541,137392541,"4-chloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5246306415705323,0.5246306415705323,-16.09
146557202,146557202,"(15S,16S,17S,19S)-15,16-dimethoxy-15,19-dimethyl-17-(methylamino)-4,14,20-triazaheptacyclo[12.12.2.02,6.07,28.08,13.020,27.021,26]octacosa-1,6,8,10,12,21,23,25,27-nonaen-3-one",0.5246776815780587,0.5246776815780587,-16.073
44352785,44352785,"4-chloro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5246306415705323,0.5246306415705323,-16.043
