,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2560,134166152,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-prop-2-enoyl-1,3-dihydroisoindole-5-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CC6=C(CN(C6)C(=O)C=C)C=C5,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1fca0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75af0>,0,0.5694184231069478,-16.991,<-15
1686,59772878,"N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N,4-dimethylbenzamide",CC1=CC=C(C=C1)C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba05460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5b220>,0,0.5082371989475815,-16.243,<-15
1285,44352914,"2-chloro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fa180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4ff40>,0,0.5246306415705323,-16.209,<-15
2831,155381507,"2-chloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7e5e0>,0,0.5246306415705323,-16.198,<-15
2567,134166175,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-6-(prop-2-enoylamino)pyridine-3-carboxamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CN=C(C=C5)NC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba20040>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba75e00>,0,0.5366315378610461,-16.18,<-15
1621,59022431,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N,4-dimethylbenzamide",CC1=CC=C(C=C1)C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O,<rdkit.Chem.rdchem.Mol object at 0x7f54fba03760>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba595b0>,0,0.5082371989475815,-16.176,<-15
2455,121258904,"9H-fluoren-9-ylmethyl N-[1-[(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-methylamino]-3-(4-methylphenyl)-1-oxopropan-2-yl]carbamate",CC1=CC=C(C=C1)CC(C(=O)N(C)C2CC3N4C5=CC=CC=C5C6=C7C(=C8C9=CC=CC=C9N(C8=C64)C(C2OC)(O3)C)CNC7=O)NC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C12,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1cdd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba72b90>,0,0.5082371989475815,-16.165,<-15
1552,58741090,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]benzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC(=O)C9=CC=CC=C9)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba018c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba57680>,0,0.6229508196721312,-16.158,<-15
2429,101697437,"2-hydroxy-N-[(2S,3S,4S,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9O)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1c190>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71f50>,0,0.5082371989475815,-16.12,<-15
2634,137392541,"4-chloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=C(C=C9)Cl)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba21f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77d10>,0,0.5246306415705323,-16.09,<-15
