,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2503,122550767,"1-[3-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]piperidin-1-yl]prop-2-en-1-one",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NCC5CCCN(C5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e2d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba74120>,0,0.5431889149102266,-14.994,-15 : -13
2815,155381209,"2-amino-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)CN)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba28120>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7dee0>,0,0.5082371989475815,-14.992,-15 : -13
2511,122550824,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-(1-prop-2-enoylpiperidin-4-yl)acetamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)CC5CCN(CC5)C(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1e650>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba744a0>,0,0.5584894613583139,-14.991,-15 : -13
1364,44631347,"(2S,3R,4R,6S)-4-(dimethylamino)-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9fc510>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba522d0>,0,0.557417526816434,-14.986,-15 : -13
427,17975556,"4-(Dimethylamino)-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdd380>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba37140>,0,0.557417526816434,-14.986,-15 : -13
2417,101168489,"(2R,3R,4R,6S)-4-(dimethylamino)-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1bbc0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71a10>,0,0.557417526816434,-14.986,-15 : -13
2736,145156727,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-4-[methyl(prop-2-enyl)amino]benzamide",CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C5=CC=C(C=C5)N(C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba25c40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7ba00>,0,0.5489266198282594,-14.984,-15 : -13
2573,134166194,"1-[3-[2-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]ethyl]pyrrolidin-1-yl]but-2-yn-1-one",CC#CC(=O)N1CCC(C1)CCNC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba202e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba760a0>,0,0.527888368462139,-14.978,-15 : -13
2475,122550721,"1-[4-[2-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]ethyl]-1,4-diazepan-1-yl]but-2-yn-1-one",CC#CC(=O)N1CCCN(CC1)CCNC2=CC3=CC(=C2)NC4=NC=CC(=N4)C5=CC(=CC=C5)OCCC=CCN(C3)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1d690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba73450>,0,0.526249024199844,-14.973,-15 : -13
220,10552740,"N,N-Dimethylstaurosporine",CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd5f50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba2fd10>,0,0.557417526816434,-14.972,-15 : -13
