,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2101,70843396,"(1R,2R)-N-[[5-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]cyclohexa-1,5-dien-1-yl]methyl]-2-phenylcyclopropane-1-carboxamide",C1CC(=CC(=C1)CNC(=O)C2CC2C3=CC=CC=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba11ee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba67ca0>,0,0.5901945192072425,-12.986,-13 : -11
990,21068257,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2,4,6-trimethylbenzamide",CC1=CC(=C(C(=C1)C)C(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1bd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47990>,0,0.5804582057610034,-12.982,-13 : -11
486,21065391,"1-[3-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-(3,5-difluorophenyl)urea",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)NC(=O)NC5=CC(=CC(=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdfa70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba398c0>,0,0.5637473683147621,-12.976,-13 : -11
479,20686800,"5-Methoxy-6-methyl-4-(methylamino)-25-oxa-1,7,17,21-tetrazaheptacyclo[12.8.2.12,6.07,24.08,13.015,19.020,23]pentacosa-8,10,12,14(24),15(19),20(23),21-heptaen-16-one",CC12C(C(CC(O1)N3C=NC4=C3C5=C(C6=CC=CC=C6N25)C7=C4CNC7=O)NC)OC,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbdf760>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba395b0>,0,0.5491803278688525,-12.973,-13 : -11
983,21068250,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2,2-diphenylacetamide",C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f18c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47680>,0,0.6108130967716321,-12.968,-13 : -11
1687,59772916,"(2S,3R,4R,6R)-4-[diethoxyphosphorylmethyl(methyl)amino]-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",CCOP(=O)(CN(C)C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C7=C53)C(C1OC)(O2)C)CNC6=O)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f54fba054d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5b290>,0,0.5246306415705323,-12.966,-13 : -11
737,21067599,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-(trifluoromethyl)benzamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)NC(=O)C5=CC(=CC=C5)C(F)(F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9eac00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba40a50>,0,0.5268621224131228,-12.966,-13 : -11
1145,22449250,"1-[3-[4-(4-methyl-1,4-diazepan-1-yl)phenyl]-4-oxo-1H-indeno[1,2-c]pyrazol-5-yl]-3-morpholin-4-ylurea",CN1CCCN(CC1)C2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f62d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4c120>,0,0.5416877810633949,-12.96,-13 : -11
586,21065851,"1-[[4-[[[3-Bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-(2,4,6-trimethylphenyl)urea",CC1=CC(=C(C(=C1)C)NC(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e6730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3c580>,0,0.613245091006905,-12.956,-13 : -11
606,21066056,"3-acetamido-N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]benzamide",CC(=O)NC1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e7140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3cf90>,0,0.5473280023449876,-12.956,-13 : -11
706,21067548,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2,2-diphenylacetamide",C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e9e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3fc30>,0,0.5297895228815069,-12.949,-13 : -11
977,21068244,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-1-phenylcyclopentane-1-carboxamide",C1CCC(C1)(C2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba473e0>,0,0.6460319762528066,-12.946,-13 : -11
980,21068247,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-(1,3-dioxoisoindol-2-yl)acetamide",C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47530>,0,0.6747205008429705,-12.944,-13 : -11
