,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
2189,73740319,"N-[2-[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]ethyl]-3-(3-chlorophenyl)prop-2-enamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCCNC(=O)C=CC4=CC(=CC=C4)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba14820>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba6a5e0>,0,0.5291694239995184,-10.997,>-11
682,21067454,"(E)-N-[2-[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]ethyl]-3-(3-chlorophenyl)prop-2-enamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCCNC(=O)C=CC4=CC(=CC=C4)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e93f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3f1b0>,0,0.5291694239995184,-10.997,>-11
1738,67037047,"[4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]-[4-(2-hydroxyethyl)-1,4-diazepan-1-yl]methanone",CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)C(=O)N4CCCN(CC4)CCO,<rdkit.Chem.rdchem.Mol object at 0x7f54fba06ce0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5cb30>,0,0.8688524590163934,-10.995,>-11
1899,68686009,[2-[4-[4-[[5-Fluoro-4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]-2-oxoethyl] acetate,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2F)NC3=CC=C(C=C3)N4CCN(CC4)C(=O)COC(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba0b8b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba61700>,0,0.819672131147541,-10.995,>-11
2627,136415212,"8-(4-Hydroxyanilino)-1-methyl-4,5-dihydropyrazolo[4,3-h]quinazoline-3-carboxamide",CN1C2=C(CCC3=CN=C(N=C32)NC4=CC=C(C=C4)O)C(=N1)C(=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba21bd0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba77990>,0,0.6461618546944864,-10.991,>-11
1266,42634535,"2-[(2S)-1-[3-ethyl-2-fluoro-7-[(1-hydroxypyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]piperidin-2-yl]ethanol",CCC1=C2N=C(C=C(N2N=C1F)NCC3=C[N+](=CC=C3)O)N4CCCCC4CCO,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f9930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4f6f0>,0,0.5790649204838544,-10.986,>-11
1265,42634366,"2-[1-[3-Ethyl-2-fluoro-7-[(1-hydroxypyridin-1-ium-3-yl)methylamino]pyrazolo[1,5-a]pyrimidin-5-yl]piperidin-2-yl]ethanol",CCC1=C2N=C(C=C(N2N=C1F)NCC3=C[N+](=CC=C3)O)N4CCCCC4CCO,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f98c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba4f680>,0,0.5790649204838544,-10.986,>-11
2725,143441863,"N-[2-[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]ethyl]-2-(2,3-dihydronaphthalen-2-yl)acetamide",C1C=C2C=CC=CC2=CC1CC(=O)NCCNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba254d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7b290>,0,0.5086776207208298,-10.984,>-11
262,11328059,1-[4-[2-Fluoro-4-[[4-(2-methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]piperazin-1-yl]ethanone,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC(=C(C=C3)N4CCN(CC4)C(=O)C)F,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd7a00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba31850>,0,0.7704918032786885,-10.982,>-11
1727,67036823,[4-[[4-(2-Methyl-3-propan-2-ylimidazol-4-yl)pyrimidin-2-yl]amino]phenyl]-(3-methylsulfonylpyrrolidin-1-yl)methanone,CC1=NC=C(N1C(C)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)C(=O)N4CCC(C4)S(=O)(=O)C,<rdkit.Chem.rdchem.Mol object at 0x7f54fba06810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba5c660>,0,0.8032786885245902,-10.978,>-11
